127.0.0.1 - - [19/Apr/2021:09:06:29 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:06:42 +0900] "GET /home HTTP/1.1" 200 4548
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:06:42 +0900] "GET /style.css HTTP/1.1" 200 1807
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:06:42 +0900] "GET /title.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:06:43 +0900] "GET /script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:06:43 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:06:45 +0900] "GET /pro/list.json?key=prod_id&word=&page=1&perpage=8&order=prod_id&desc=desc HTTP/1.1" 200 1562
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:06:45 +0900] "GET /product/img/clt09.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:06:45 +0900] "GET /product/img/clt06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:06:45 +0900] "GET /product/img/clt04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:06:45 +0900] "GET /product/img/clt05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:06:45 +0900] "GET /product/img/clt03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:06:45 +0900] "GET /product/img/clt02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:06:45 +0900] "GET /product/img/clt07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:06:45 +0900] "GET /product/img/clt08.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:11:21 +0900] "GET /pro/pdetail?prod_id=P109 HTTP/1.1" 200 4847
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:11:21 +0900] "GET /pro/script.js HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:11:22 +0900] "GET /pro/script.js HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:12:00 +0900] "GET /home HTTP/1.1" 200 4548
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:12:00 +0900] "GET /pro/list.json?key=prod_id&word=&page=1&perpage=8&order=prod_id&desc=desc HTTP/1.1" 200 1562
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:12:23 +0900] "POST /user/login HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:12:24 +0900] "GET /home HTTP/1.1" 200 4462
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:12:24 +0900] "GET /pro/list.json?key=prod_id&word=&page=1&perpage=8&order=prod_id&desc=desc HTTP/1.1" 200 1562
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:12:30 +0900] "GET /pro/list HTTP/1.1" 200 4063
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:12:30 +0900] "GET /pro/script.js HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:12:30 +0900] "GET /pro/script.js HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:12:30 +0900] "GET /pro/list.json?key=prod_id&word=&page=1&perpage=8&order=prod_id&desc=asc HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:12:32 +0900] "GET /pro/read?prod_id=P101 HTTP/1.1" 200 5006
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:12:32 +0900] "GET /product/img/clt01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:12:32 +0900] "GET /pro/script.js HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:12:32 +0900] "GET /pro/script.js HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:12:39 +0900] "GET /pro/list HTTP/1.1" 200 4063
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:12:39 +0900] "GET /pro/script.js HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:12:39 +0900] "GET /pro/list.json?key=prod_id&word=&page=1&perpage=8&order=prod_id&desc=asc HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:12:39 +0900] "GET /pro/script.js HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:14:58 +0900] "GET /home HTTP/1.1" 200 4462
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:14:58 +0900] "GET /pro/list.json?key=prod_id&word=&page=1&perpage=8&order=prod_id&desc=desc HTTP/1.1" 200 1562
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:15:00 +0900] "GET /cart/list HTTP/1.1" 200 8661
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:15:00 +0900] "GET /cart/script.js HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:15:01 +0900] "GET /home HTTP/1.1" 200 4462
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:15:01 +0900] "GET /pro/list.json?key=prod_id&word=&page=1&perpage=8&order=prod_id&desc=desc HTTP/1.1" 200 1562
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:15:02 +0900] "GET /pro/list.json?key=prod_id&word=&page=2&perpage=8&order=prod_id&desc=desc HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [19/Apr/2021:09:15:04 +0900] "GET /pro/list.json?key=prod_id&word=&page=1&perpage=8&order=prod_id&desc=desc HTTP/1.1" 200 1562
